Fe,Si,Al,B,P,Cu,Ag,Au,V,Cr,Zr,Nb,Mo,W,Pr,Gd,Annealing temperature (K),Annealing Time (s),Primary Crystallization Onset (K),Primary Crystallization Peak (K),Secondary Crystallization Peak (K),Ribbon Thickness (um),Total SiCAl,Total BP,Total Late Transition,Total Early Transition,Relative to Fe SiCAl,Relative to Fe BP,Relative to Fe Early,Relative to Fe Late,Relative to Late Early,Relative to Early SiCAl,Relative to Late SiCAl,Relative to Early BP,Relative to Late BP,Late Weighted Volume,Late Weighted Area,Late Weighted Mass,Late Mean Electrons,Early Weighted Volume,Early Weighted Area,Early Weighted Mass,Early Mean Electrons,Delta T0,Delta T1,Delta T2,Grain Diameter,Composition ID,Reference DOI
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,8.426229508,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,773,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,11.9904207,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,753,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,9.994852915,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,753,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,8.985631054,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.475409836,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.19672131,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,793,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,11.87032205,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,773,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,9.971619545,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,8.504879008,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,813,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.98360656,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,793,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.47614112,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,833,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.23558637,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,853,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.11548772,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.490152625,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,813,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.11566644,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,833,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,49.10561067,13.40405838,94.428185,5.5,,,,10.78688525,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,833,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.947492583,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,813,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.778782571,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,9.610787433,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,813,3600,,,,20,15.5,9,1,3,0.216783217,0.125874126,0.041958042,0.013986014,3,5.166666667,15.5,3,9,20.47747469,7.484870061,63.546,2,46.0715893,12.85154859,95.95,6,,,,12.95174608,1101100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,853,3600,,,,20,13.5,9,1,3,0.183673469,0.12244898,0.040816327,0.013605442,3,4.5,13.5,3,9,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,10.98360656,1100100011,https://doi.org/10.1016/S0304-8853(99)00196-1
73.5,16,0,6,0,1,0,0,0,0,0,3,0,0,0,0,903,3600,,,,20,16,6,1,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,16,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16.5,0,6,0,1,0,0,0,0,0,3,0,0,0,0,903,3600,,,,,16.5,6,1,3,0.224489796,0.081632653,0.040816327,0.013605442,3,5.5,16.5,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,16,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
73.5,16,0,6,0,1,0,0,0,0,0,3,0,0,0,0,743,3600,,,,20,16,6,1,3,0.217687075,0.081632653,0.040816327,0.013605442,3,5.333333333,16,2,6,20.47747469,7.484870061,63.546,2,52.13963205,13.95656817,92.90637,5,,,,12,1100100011,https://doi.org/10.1016/S0921-4526(01)00468-9
